,Num,Customer,FAB,EQPID,S/N
1,1,SK hynix(C),M11,PDT309,V110202
2,2,SK hynix(C),M11,PDT-312,G250327
3,3,SK hynix(C),M11,PDT-313,G260524
4,4,SK hynix(C),M11,PDT-314,G250438
5,5,SK hynix(C),M11,PDT-315,G260787
6,6,SK hynix(C),M11,PDT320,V100090
7,7,SK hynix(C),M11,PDT321,N170034
8,8,SK hynix(C),M11,PDT322,V110214
9,9,SK hynix(C),M11,PDT323,V130453
10,10,SK hynix(C),M11,PDT324,Z170564
11,11,SK hynix(C),M11,PDT325,Z170643
12,12,SK hynix(C),M11,PDT-401,V100095
13,13,SK hynix(C),M11,PDT-402,V100124
14,14,SK hynix(C),M11,PDT-403,V110307
15,15,SK hynix(C),M11,PDT407,N180130
16,16,SK hynix(C),M11,PDT411,N180129
17,17,SK hynix(C),M11,PDT412,N180206
18,18,SK hynix(C),M11,PDT-413,V100051
19,19,SK hynix(C),M11,PDT-414,V100130
20,20,SK hynix(C),M11,PDT-415,V110186
21,21,SK hynix(C),M11,PDT-417,G370933
22,22,SK hynix(C),M11,PDT420,Z130048
23,23,SK hynix(C),M11,PIT204,N100363
24,24,SK hynix(C),M11,PPT-108,E181329
25,25,SK hynix(C),M11,PPT-109,E101445
26,26,SK hynix(C),M11,PPT112,E111541
27,27,SK hynix(C),M11,PPT301,E181786
28,28,SK hynix(C),M11,PPT302,V181187
29,29,SK hynix(C),M11,PPT303,V181250
30,30,SK hynix(C),M11,TSOA-01,J181313
31,31,SK hynix(C),M11,TSOA-02,J161135
32,32,SK hynix(C),M11A,PDT103,G360740
33,33,SK hynix(C),M11A,PDT421,Z140216
34,34,SK hynix(C),M11A,PDT422,Z150253
35,35,SK hynix(C),M11A,PPT405,V111533
36,36,SK hynix(C),M11B,PDT223,Z150252
37,37,SK hynix(C),M12,PDT121,V150729
38,38,SK hynix(C),M12,PDT123,V110226
39,39,SK hynix(C),M12,PDT201,Z120027
40,40,SK hynix(C),M12,PDT202,Z120035
41,41,SK hynix(C),M12,PDT203,V130491
42,42,SK hynix(C),M12,PDT204,V130493
43,43,SK hynix(C),M12,PDT211,N180280
44,44,SK hynix(C),M12,PDT212,V120348
45,45,SK hynix(C),M12,PDT214,G260698
46,46,SK hynix(C),M12,PDT215,N170099
47,47,SK hynix(C),M12,PDT216,V130482
48,48,SK hynix(C),M12,PDT224,Z140195
49,49,SK hynix(C),M12,PDT301,N180256
50,50,SK hynix(C),M12,PDT-302,V130524
1,51,SK hynix(C),M12,PDT303,N170100
2,52,SK hynix(C),M12,PDT304,V140587
3,53,SK hynix(C),M12,PDT307,V110189
4,54,SK hynix(C),M12,PDT308,V100145
5,55,SK hynix(C),M12,PDT310,V220256
6,56,SK hynix(C),M12,PLT801,E131615
7,57,SK hynix(C),M12,PMT102,N120609
8,58,SK hynix(C),M12,PMT103,V110200
9,59,SK hynix(C),M12,PMT104,V170795
10,60,SK hynix(C),M12,PMT201,V170789
11,61,SK hynix(C),M12,PND101,N130641
12,62,SK hynix(C),M12,PND201,Z170626
13,63,SK hynix(C),M12,PPC801,E121591
14,64,SK hynix(C),M12,PPT304,V181243
15,65,SK hynix(C),M12,PSO801,J140843
16,66,SK hynix(C),M15,5PLT1601,N180278
17,67,SK hynix(C),M15,5PLT1701,G271249
18,68,SK hynix(C),M15,5PMC4501,V181228
19,69,SK hynix(C),M15,5PMC4502,V181232
20,70,SK hynix(C),M15,5PMC4503,V181238
21,71,SK hynix(C),M15,5PMC4504,V191267
22,72,SK hynix(C),M15,5PMC4506,V140689
23,73,SK hynix(C),M15,5PRT1701,G271207
24,74,SK hynix(C),M15,5PTA1601,Z280870
25,75,SK hynix(C),M15,5PTA1602,Z110013
26,76,SK hynix(C),M15,5PTA1603,Z280911
27,77,SK hynix(C),M15,5PTA1604,N190257
28,78,SK hynix(C),M15,5PTA1606,Z290940
29,79,SK hynix(C),M15,5PTA1607,Z280914
30,80,SK hynix(C),M15,5PTA1801,Z280806
31,81,SK hynix(C),M15,5PTA1802,Z280831
32,82,SK hynix(C),M15,5PTA1803,N180193
33,83,SK hynix(C),M15,5PTA1805,Z280915
34,84,SK hynix(C),M15,5PTD4301,Z180812
35,85,SK hynix(C),M15,5PTI1605,G271012
36,86,SK hynix(C),M15,5PTK1806,Z130100
37,87,SK hynix(C),M15,5PTK4501,Z180851
38,88,SK hynix(C),M15,5PTK4502,V150772
39,89,SK hynix(C),M15,5PTK4503,Z180912
40,90,SK hynix(C),M15,5PTK4504,Z100919
41,91,SK hynix(C),M15,5PTK4701,Z180780
42,92,SK hynix(C),M15,5PTK4702,Z180726
43,93,SK hynix(C),M15,5PTK4703,Z180920
44,94,SK hynix(C),M15,5PTK4704,V130522
45,95,SK hynix(C),M15,5PTS1901,K180048
46,96,SK hynix(C),MASK,CDL 1호기,Q190088
47,97,SK hynix(C),MASK,CDL 2호기,Q100110
48,98,SK hynix(C),MASK,COT 1호기,Q140054
49,99,SK hynix(C),MASK,COT 2호기,Q180080
50,100,SK hynix(C),MASK,COT 3호기,Q100111
1,101,SK hynix(C),MASK,DEV 1호기,Q130047
2,102,SK hynix(C),MASK,DEV 2호기,Q180078
