,Num,Customer,FAB,EQPID,S/N
1,1,Samsung,11-LINE,**,FWT0005
2,2,Samsung,11-LINE,PTA301,G260624
3,3,Samsung,11-LINE,PTAA09,G250333
4,4,Samsung,11-LINE,PTAA10,G260835
5,5,Samsung,11-LINE,PTAA17,G240114
6,6,Samsung,11-LINE,PTAA18,G250251
7,7,Samsung,11-LINE,PTAA20,G271276
8,8,Samsung,11-LINE,PTE370,E240754
9,9,Samsung,11-LINE,PTE371,E250943
10,10,Samsung,11-LINE,PTE377,E230635
11,11,Samsung,11-LINE,PTH311,G271039
12,12,Samsung,11-LINE,PTH315,G271275
13,13,Samsung,11-LINE,PTH316,N110470
14,14,Samsung,11-LINE,PTHA15,N100447
15,15,Samsung,11-LINE,PTVA02,V120333
16,16,Samsung,11-LINE,PTVA03,N190270
17,17,Samsung,11-LINE,PTYA69,N150732
18,18,Samsung,11-LINE,TPST10,G260533
19,19,Samsung,11-LINE,TPST19,G270969
20,20,Samsung,11-LINE,TPST21,N180115
21,21,Samsung,12-LINE,**,FWT0006
22,22,Samsung,12-LINE,PWOC03,E230615
23,23,Samsung,12-LINE,PWOC04,E230616
24,24,Samsung,12-LINE,PWOC05,G250263
25,25,Samsung,12-LINE,PWOC06,G240060
26,26,Samsung,12-LINE,PWOC11,E230614
27,27,Samsung,12-LINE,PWOC15,N110529
28,28,Samsung,12-LINE,PWOC16,V110209
29,29,Samsung,12-LINE,PWOC17,N100354
30,30,Samsung,12-LINE,PWOC18,Z240152
31,31,Samsung,12-LINE,PWOC26,G260851
32,32,Samsung,12-LINE,PWOC27,N170011
33,33,Samsung,12-LINE,PWOC29,N170082
34,34,Samsung,12-LINE,PWOC30,G271051
35,35,Samsung,12-LINE,PWOC31,G270966
36,36,Samsung,12-LINE,PWOC32,N110552
37,37,Samsung,12-LINE,PWOC33,G270905
38,38,Samsung,12-LINE,PWOC34,G260727
39,39,Samsung,12-LINE,PWOC36,N120596
40,40,Samsung,12-LINE,PWOC37,E230624
41,41,Samsung,12-LINE,PWOC38,E230625
42,42,Samsung,12-LINE,PWOC39,E230707
43,43,Samsung,12-LINE,PWOC42,G260520
44,44,Samsung,12-LINE,PWOC43,V140577
45,45,Samsung,12-LINE,PWOC44,G371106
46,46,Samsung,12-LINE,PWOC47,N180178
47,47,Samsung,12-LINE,PWOC48,N180152
48,48,Samsung,12-LINE,PWOC49,N180118
49,49,Samsung,12-LINE,PWOC50,N170081
50,50,Samsung,13-LINE,**,FWT0003
1,51,Samsung,13-LINE,PSPE01,N100353
2,52,Samsung,13-LINE,PSPE04,G240113
3,53,Samsung,13-LINE,PSPE05,G260519
4,54,Samsung,13-LINE,PSPE06,G240115
5,55,Samsung,13-LINE,PSPE08,Z170602
6,56,Samsung,13-LINE,PSPE09,N110569
7,57,Samsung,13-LINE,PSPE12,Z150301
8,58,Samsung,13-LINE,PSPE14,Z150292
9,59,Samsung,13-LINE,PSPE16,G260849
10,60,Samsung,13-LINE,PSPE17,G271278
11,61,Samsung,13-LINE,PSPE18,V100026
12,62,Samsung,13-LINE,PSPE19,N180179
13,63,Samsung,13-LINE,PSPE21,V120334
14,64,Samsung,13-LINE,PSPE23,N190330
15,65,Samsung,13-LINE,PSPE24,N190319
16,66,Samsung,13-LINE,PSPE25,N180265
17,67,Samsung,13-LINE,PSPE26,V110199
18,68,Samsung,13-LINE,PSPE28,G240116
19,69,Samsung,13-LINE,PSPE29,G250253
20,70,Samsung,13-LINE,PSPE30,G250254
21,71,Samsung,13-LINE,PSPE31,G271017
22,72,Samsung,13-LINE,PSPE32,V171039
23,73,Samsung,13-LINE,PSPE33,V140572
24,74,Samsung,13-LINE,PSPE34,Z150251
25,75,Samsung,13-LINE,PSPE35,N180159
26,76,Samsung,13-LINE,PSPE36,N110568
27,77,Samsung,13-LINE,PSPE37,G250449
